StartTime,CurrentTime,ComTime,Sleep
00:51:28.790,00:51:28.856,66,70
00:51:28.975,00:51:29.025,50,70
00:51:29.041,00:51:29.096,55,70
00:51:29.106,00:51:29.167,61,70
00:51:29.168,00:51:29.238,70,70
00:51:29.229,00:51:29.309,80,70
00:51:29.287,00:51:29.379,92,70
00:51:29.344,00:51:29.450,106,70
00:51:29.398,00:51:29.520,122,70
00:51:29.450,00:51:29.591,141,70
00:51:29.501,00:51:29.662,161,70
00:51:29.550,00:51:29.732,182,70
00:51:29.596,00:51:29.803,207,70
00:51:29.640,00:51:29.873,233,70
00:51:29.683,00:51:29.944,261,70
00:51:29.723,00:51:30.015,292,70
00:51:29.761,00:51:30.086,325,70
00:51:29.798,00:51:30.156,358,70
00:51:29.832,00:51:30.227,395,70
00:51:29.864,00:51:30.297,433,70
00:51:29.895,00:51:30.368,473,70
00:51:29.923,00:51:30.438,515,70
00:51:29.950,00:51:30.509,559,70
00:51:29.974,00:51:30.579,605,70
00:51:29.996,00:51:30.650,654,70
00:51:30.017,00:51:30.720,703,70
00:51:30.035,00:51:30.791,756,70
00:51:30.051,00:51:30.861,810,70
00:51:30.065,00:51:30.931,866,70
00:51:30.078,00:51:31.002,924,70
00:51:30.088,00:51:31.072,984,70
00:51:30.096,00:51:31.143,1047,70
00:51:30.103,00:51:31.213,1110,70
00:51:30.107,00:51:31.284,1177,70
00:51:30.110,00:51:31.354,1244,70
00:51:30.110,00:51:31.424,1314,70
