StartTime,CurrentTime,ElapsedTime,SleepTime
00:51:28.790,00:51:29.047,257,70
00:51:28.975,00:51:29.188,213,70
00:51:29.041,00:51:29.329,288,70
00:51:29.106,00:51:29.470,364,70
00:51:29.168,00:51:29.610,442,70
00:51:29.229,00:51:29.751,522,70
00:51:29.287,00:51:29.892,605,70
00:51:29.344,00:51:30.032,688,70
00:51:29.398,00:51:30.173,775,70
00:51:29.450,00:51:30.314,864,70
00:51:29.501,00:51:30.455,954,70
00:51:29.550,00:51:30.595,1045,70
00:51:29.596,00:51:30.736,1140,70
00:51:29.640,00:51:30.876,1236,70
00:51:29.683,00:51:31.017,1334,70
00:51:29.723,00:51:31.157,1434,70
00:51:29.761,00:51:31.298,1537,70
00:51:29.798,00:51:31.438,1640,70
00:51:29.832,00:51:31.579,1747,70
00:51:29.864,00:51:31.719,1855,70
00:51:29.895,00:51:31.859,1964,70
00:51:29.923,00:51:32.000,2077,70
00:51:29.950,00:51:32.140,2190,70
00:51:29.974,00:51:32.281,2307,70
00:51:29.996,00:51:32.421,2425,70
00:51:30.017,00:51:32.562,2545,70
00:51:30.035,00:51:32.702,2667,70
00:51:30.051,00:51:32.843,2792,70
00:51:30.065,00:51:32.984,2919,70
00:51:30.078,00:51:33.124,3046,70
00:51:30.088,00:51:33.265,3177,70
00:51:30.096,00:51:33.405,3309,70
00:51:30.103,00:51:33.546,3443,70
00:51:30.107,00:51:33.686,3579,70
00:51:30.110,00:51:33.826,3716,70
00:51:30.110,00:51:33.967,3857,70
